"","code","location","year","x"
"67","paste(""Water temperature / "", ~degree, ""C"")","Salses","2010",22.9272727272727
"68","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2010",6.56176470588235
"69","paste(""Water temperature / "", ~degree, ""C"")","Thau","2010",23.345
"70","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2011",8.04444444444444
"71","paste(""Water temperature / "", ~degree, ""C"")","Bages","2011",22.3888888888889
"72","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2011",7.15
"73","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2011",23.4445945945946
"74","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2011",8.0625
"75","paste(""Water temperature / "", ~degree, ""C"")","Salses","2011",22.4463414634146
"76","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2011",6.16285714285714
"77","paste(""Water temperature / "", ~degree, ""C"")","Thau","2011",23.0035087719298
"78","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2012",7.34444444444444
"79","paste(""Water temperature / "", ~degree, ""C"")","Bages","2012",23.1111111111111
"80","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2012",6.876
"81","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2012",24.2597222222222
"82","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2012",6.97222222222222
"83","paste(""Water temperature / "", ~degree, ""C"")","Salses","2012",23.08
"84","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2012",7.46666666666667
"85","paste(""Water temperature / "", ~degree, ""C"")","Thau","2012",23.8517857142857
